Diario,Tipo_de_pieza,Interactividad,Soporte,Número_de_fuentes,Número_de_fuentes_label,Tipo_de_fuente,Número_de_visualizaciones,Número_de_visualizaciones_label,Deporte,Autor,Clásico,Perfil_del_autor,Fecha,Titular,Enlace final copiado
Marca,Artículo de datos,Estática,Papel,0,No se indica,Ninguna,0,Ninguna,Fútbol,Miguel ?ngel Lara,No,Periodista,18/11/2019,En la casa del 7,<a href='https://imgur.com/kKaiVQP' target='_blank'>'En la casa del 7'</a><br/>
As,Artículo de datos,Estática,Papel y digital,1,Una,Externa,0,Ninguna,Fútbol,Javier Hern?ndez,No,Periodista,18/11/2019,Espa?a tiene censados a 699.970 rumanos,<a href='https://as.com/futbol/2019/11/18/seleccion/1574044340_527937.html' target='_blank'>'Espa?a tiene censados a 699.970 rumanos'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Mister Chip,No,Periodista,18/11/2019,"Espa?a, a terminar por tercera vez una fase previa sin derrotas","<a href='https://as.com/futbol/2019/11/18/seleccion/1574045341_082376.html' target='_blank'>'Espa?a, a terminar por tercera vez una fase previa sin derrotas'</a><br/>"
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Manu de Juan,No,Periodista,18/11/2019,Militao s?lo juega el 21% de los minutos con Zidane,<a href='https://as.com/futbol/2019/11/14/primera/1573767526_212229.html' target='_blank'>'Militao s?lo juega el 21% de los minutos con Zidane'</a><br/>
As,Artículo de datos,Estática,Papel y digital,1,Una,Externa,1,Una,Fútbol,Mario de la Riva,No,Periodista,18/11/2019,Zidane reinterpeta las rotaciones en su librillo,<a href='https://as.com/futbol/2019/11/17/primera/1574025415_720590.html' target='_blank'>'Zidane reinterpeta las rotaciones en su librillo'</a><br/>
As,Artículo de datos,Estática,Papel,0,No se indica,Ninguna,0,Ninguna,Fútbol,D.Lagos,No,Periodista,18/11/2019,Lopetegui s? minimiza el cansancio del Sevilla,<a href='https://imgur.com/QpcItPo' target='_blank'>'Lopetegui s? minimiza el cansancio del Sevilla'</a><br/>
Sport,Artículo de datos,Interactiva,Papel y digital,0,No se indica,Ninguna,1,Una,Fútbol,David Salinas,No,Periodista,26/11/2019,34 partidos sin perder en el Camp Nou,<a href='https://www.sport.es/es/noticias/barca/barca-partidos-europeos-sin-perder-camp-nou-7750770' target='_blank'>'34 partidos sin perder en el Camp Nou'</a><br/>
As,Artículo de datos,Estática,Digital,1,Una,Interna,0,Ninguna,Fútbol,Redacci?n,No,Periodista,18/11/2019,Espa?a ya tiene la cuarta mejor racha de la historia marcando,<a href='https://as.com/futbol/2019/11/18/seleccion/1574108025_380900.html?m1=cG9ydGFkYV9wb3J0YWRh&m2=U2VsZWNjacOzbg%3D%3D&m3=MQ%3D%3D&m4=dmlkZW8%3D&m5=MjM%3D' target='_blank'>'Espa?a ya tiene la cuarta mejor racha de la historia marcando'</a><br/>
As,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Jaime Candil,No,Periodista,18/11/2019,"Kane lleva m?s goles que Neymar y tiene a tiro a Ronaldo, Henry y Messi","<a href='https://as.com/futbol/2019/11/18/internacional/1574065301_248760.html' target='_blank'>'Kane lleva m?s goles que Neymar y tiene a tiro a Ronaldo, Henry y Messi'</a><br/>"
Marca,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Rafael Serra,No,Periodista,18/11/2019,"Fuenlabrada, el mejor reci?n ascendido desde el hist?rico Xerez","<a href='https://www.marca.com/futbol/fuenlabrada/2019/11/18/5dd28b3546163f8dbe8b459b.html' target='_blank'>'Fuenlabrada, el mejor reci?n ascendido desde el hist?rico Xerez'</a><br/>"
Sport,Artículo de datos,Interactiva,Digital,0,No se indica,Ninguna,2,Dos,Fútbol,David Boti,No,Periodista,03/12/2019,La incre?ble diferencia de puntos entre Messi y Van Dijk,<a href='https://www.sport.es/es/noticias/balon-oro/increible-diferencia-puntos-entre-messi-van-dijk-7760502' target='_blank'>'La incre?ble diferencia de puntos entre Messi y Van Dijk'</a><br/>
Sport,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Germ?n Bona,No,Periodista ,04/12/2019,El Bar?a B dobla la asistencia en su traslado al Johan Cruyff,<a href='https://www.sport.es/es/noticias/barca/barca-dobla-asistencia-traslado-johan-cruyff-7761293' target='_blank'>'El Bar?a B dobla la asistencia en su traslado al Johan Cruyff'</a><br/>
Sport,Artículo de datos,Estática,Papel,1,Una,Externa,2,Dos,Fútbol,S.B.,No,Periodista,19/11/2019,"El Bar?a, el club deportivo m?s rico del planeta","<a href='https://imgur.com/QbYaLvu' target='_blank'>'El Bar?a, el club deportivo m?s rico del planeta'</a><br/>"
Sport,Especial,Estática,Papel y digital,0,No se indica,Ninguna,2,Dos,Fútbol,Juan Manuel D?az/ Marc Creus,No,Periodista y departamento de infografía,20/11/2019,Leo vs CR: calidad vs cantidad,<a href='https://www.sport.es/es/noticias/barca/messi-golea-mas-las-selecciones-top-que-cristiano-ronaldo-7741850' target='_blank'>'Leo vs CR: calidad vs cantidad'</a><br/>
Marca,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,1,Una,Fútbol,Santiago Siguero/ Sof?a Valga??n,No,Periodista y departamento de infografía,19/11/2019,El Madrid despierta,<a href='https://www.marca.com/futbol/real-madrid/2019/11/19/5dd2dfd546163f449c8b45ad.html' target='_blank'>'El Madrid despierta'</a><br/>
Marca,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,1,Una,Fútbol,Pablo Polo,No,Periodista y departamento de infografía,19/11/2019,El calvario de James,<a href='https://www.marca.com/futbol/real-madrid/2019/11/19/5dd2f806268e3e7e308b45b7.html' target='_blank'>'El calvario de James'</a><br/>
Marca,Artículo de datos,Estática,Papel y digital,1,Una,Interna,3,Tres o más,Fútbol,Ramiro Aldunate/ Rafa Molina/ Martina Gil,No,Equipo multidisciplinar,19/11/2019,?Qui?n debe acompa?ar a Messi y Su?rez en el tridente de ataque del Barcelona?,<a href='https://www.marca.com/futbol/barcelona/2019/11/19/5dc952e6268e3e66488b4663.html' target='_blank'>'?Qui?n debe acompa?ar a Messi y Su?rez en el tridente de ataque del Barcelona?'</a><br/>
Marca,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,D?dac Piferrer,No,Periodista,19/11/2019,El Espanyol es el peor anfitri?n de Europa,<a href='https://www.marca.com/futbol/espanyol/2019/11/18/5dd2707dca4741c66c8b4653.html' target='_blank'>'El Espanyol es el peor anfitri?n de Europa'</a><br/>
Marca,Previa,Estática,Papel,0,No se indica,Ninguna,1,Una,Tenis,Fernando M. Carre?o,No,Periodista y departamento de infografía,19/11/2019,La 'generaci?n del 98' a punto,<a href='https://imgur.com/T2JBlDX' target='_blank'>'La 'generaci?n del 98' a punto'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Alberto Mart?nez,No,Periodista,19/11/2019,La cima de los 42 puntos,<a href='https://as.com/futbol/2019/11/18/primera/1574117110_355297.html' target='_blank'>'La cima de los 42 puntos'</a><br/>
As,Artículo de datos,Estática,Papel y digital,1,Una,Externa,0,Ninguna,Fútbol,Alberto Mart?nez,No,Periodista,19/11/2019,El Espanyol batir? r?cords este ejercicio: 20 M? de beneficios,<a href='https://as.com/futbol/2019/11/18/primera/1574072287_566030.html' target='_blank'>'El Espanyol batir? r?cords este ejercicio: 20 M? de beneficios'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fórmula 1,Jes?s Balseiro,No,Periodista,19/11/2019,Sainz se pone al nivel de campeones mundiales,<a href='https://as.com/motor/2019/11/18/formula_1/1574055382_226906.html' target='_blank'>'Sainz se pone al nivel de campeones mundiales'</a><br/>
Sport,Especial,Estática,Papel,1,Una,Externa,8,Tres o más,Fútbol,David Salinas/ Marc Creus,No,Periodista y departamento de infografía,25/11/2019,"Messi, 700 partidos","<a href='https://imgur.com/NyX0LV5' target='_blank'>'Messi, 700 partidos'</a><br/>"
